temperature,ph_level,moisture,risk_score,risk_class
38.44,6.54,68.23,2,High
37.75,7.52,97.69,4,High
36.22,4.72,65.92,1,Low
36.32,5.91,36.11,0,Low
38.08,8.84,86.75,5,High
38.77,8.37,86.04,6,High
37.61,7.3,74.42,2,Medium
38.64,8.29,94.4,6,High
39.46,8.79,100.0,6,High
38.14,7.36,59.91,1,Low
38.6,8.59,88.61,6,High
37.14,5.6,43.06,0,Low
37.17,5.54,25.72,0,Low
39.0,8.67,97.28,6,High
38.19,6.85,63.26,1,Low
36.61,4.98,22.37,0,Low
38.93,8.03,88.03,6,High
36.06,3.86,40.82,1,Low
39.91,8.67,78.25,5,High
36.73,5.12,51.47,0,Low
38.94,8.45,96.61,6,High
38.69,6.58,85.03,4,High
38.29,8.3,89.55,5,High
38.01,6.06,74.86,2,Medium
37.92,6.57,73.03,2,Medium
38.75,7.28,78.18,3,Medium
36.6,4.57,52.5,0,Low
38.32,8.03,91.81,5,High
38.84,6.26,69.27,3,Medium
37.89,6.4,54.51,1,Low
37.36,5.42,62.04,0,Low
38.19,7.28,60.96,1,Low
35.67,4.65,49.79,0,Low
36.24,5.74,26.81,0,Low
36.95,6.17,50.92,0,Low
35.83,4.97,18.66,0,Low
37.96,6.51,58.94,1,Low
38.97,8.77,91.09,6,High
37.9,6.71,80.64,2,Medium
39.31,7.1,73.81,3,Medium
40.03,8.68,77.16,5,High
37.73,6.89,57.21,1,Low
36.27,5.07,41.59,0,Low
40.09,8.23,90.51,6,High
38.45,6.54,65.79,2,Medium
37.63,6.77,54.19,1,Low
38.87,7.38,84.62,3,Medium
38.02,6.05,67.72,2,Medium
36.65,4.01,29.22,0,Low
38.15,8.45,83.62,4,High
39.75,8.76,77.64,5,High
37.15,5.39,29.29,0,Low
36.83,6.62,81.38,1,Low
36.35,5.62,56.7,0,Low
38.34,7.67,77.33,3,Medium
37.94,6.61,57.88,1,Low
38.73,8.34,100.0,6,High
37.1,5.76,42.22,0,Low
36.48,5.93,52.63,0,Low
37.98,8.12,68.19,4,High
39.23,7.58,94.09,5,High
38.52,8.85,92.85,6,High
36.82,4.96,45.15,0,Low
36.24,5.03,41.25,0,Low
38.35,9.14,93.08,5,High
35.83,4.92,63.73,0,Low
39.68,8.41,93.77,6,High
37.07,4.77,55.36,0,Low
39.01,8.41,88.77,6,High
36.47,4.55,64.27,0,Low
37.52,7.25,62.57,1,Low
38.42,5.44,79.27,2,Medium
36.49,5.29,51.97,0,Low
38.26,6.89,57.44,1,Low
38.59,8.14,77.17,5,High
39.19,8.71,95.81,6,High
39.12,8.16,85.13,6,High
38.07,6.95,75.58,2,Medium
38.22,8.44,70.78,4,High
38.05,8.43,59.76,3,Medium
37.5,6.36,69.5,2,Medium
39.98,8.47,86.99,6,High
36.39,4.6,23.7,0,Low
37.08,6.69,28.33,0,Low
37.94,7.44,53.52,1,Low
36.99,4.97,52.74,0,Low
36.31,4.68,22.77,0,Low
37.2,4.51,49.18,0,Low
39.1,7.82,82.93,4,High
38.86,9.41,90.37,6,High
39.64,8.58,95.81,6,High
37.57,6.7,68.29,2,Medium
38.74,9.0,91.9,6,High
35.82,6.17,43.92,0,Low
38.74,7.31,100.0,4,High
38.58,6.84,84.3,3,Medium
39.41,8.63,94.99,6,High
36.48,6.34,34.12,0,Low
37.91,7.12,65.71,2,Medium
38.8,7.25,90.08,4,High
37.03,6.91,74.88,1,Low
38.18,5.25,56.39,1,Low
36.08,5.43,36.76,0,Low
37.58,7.25,71.37,2,Medium
36.07,5.19,30.45,0,Low
37.91,5.95,53.62,1,Low
37.74,7.41,100.0,3,Medium
37.55,6.67,59.38,1,Low
37.87,6.09,62.59,1,Low
38.16,6.61,68.21,2,Medium
38.81,8.03,93.76,6,High
36.53,5.06,35.62,0,Low
38.28,7.16,74.55,2,Medium
36.62,5.49,56.22,0,Low
37.85,7.91,72.28,3,Medium
39.07,8.35,84.11,5,High
39.32,6.5,70.71,3,Medium
38.61,9.13,84.62,5,High
37.11,6.19,52.92,0,Low
40.58,7.98,76.67,4,High
37.54,7.84,67.18,3,Medium
36.51,5.53,42.27,0,Low
38.78,7.44,93.18,4,High
38.63,8.66,92.42,6,High
36.57,5.82,56.1,0,Low
39.46,8.65,86.48,6,High
36.81,5.38,58.09,0,Low
38.36,8.48,89.43,5,High
39.13,7.09,82.44,3,Medium
38.81,5.83,66.71,3,Low
38.6,7.91,100.0,5,High
36.96,3.97,42.95,1,Low
36.07,5.59,44.4,0,Low
36.23,4.85,48.61,0,Low
36.59,6.13,71.59,1,Low
39.14,8.36,87.56,6,High
36.48,5.8,36.22,0,Low
37.99,8.05,67.0,4,High
39.64,8.16,88.31,6,High
36.47,5.6,47.77,0,Low
38.22,7.62,100.0,4,High
36.21,6.0,48.38,0,Low
38.82,8.01,88.64,6,High
37.86,7.04,88.5,3,Medium
36.73,6.72,97.4,2,Medium
36.19,5.41,36.1,0,Low
37.73,6.87,51.28,1,Low
38.91,7.96,93.16,5,High
36.96,4.17,64.71,0,Low
38.24,8.45,100.0,5,High
38.18,6.81,59.74,1,Low
38.17,7.43,93.21,3,Medium
38.06,5.76,72.96,2,Medium
38.6,7.06,82.36,3,Medium
36.63,4.31,40.04,0,Low
37.54,5.83,55.86,1,Low
36.07,5.44,25.82,0,Low
38.8,6.29,73.21,3,Medium
36.93,3.93,42.23,1,Low
39.12,5.52,59.52,2,Medium
37.15,7.88,94.22,3,Medium
35.94,3.43,42.07,1,Low
38.51,8.33,93.16,6,High
37.74,5.92,76.66,2,Medium
39.43,8.67,78.63,5,High
36.22,4.26,54.06,0,Low
37.15,5.28,47.5,0,Low
38.13,6.85,84.8,2,Medium
36.45,4.41,53.44,0,Low
36.57,5.92,21.36,0,Low
37.88,6.22,93.84,3,Medium
36.4,5.02,20.97,0,Low
39.49,7.82,83.37,4,High
37.27,5.36,39.54,0,Low
36.2,4.3,32.47,0,Low
37.38,5.55,72.19,1,Low
39.92,7.8,92.37,5,High
36.47,5.52,54.3,0,High
36.47,4.75,28.59,0,Low
38.53,7.53,93.52,5,High
38.36,8.37,81.73,4,High
37.55,7.28,63.21,1,Low
37.78,6.28,57.47,1,Low
38.35,7.02,92.39,3,Medium
37.75,6.55,74.7,2,Medium
38.48,7.09,72.56,2,Medium
37.46,5.12,43.64,0,Low
37.08,4.78,45.06,0,Low
36.78,4.05,26.49,0,Low
38.32,7.81,95.08,4,High
38.0,5.82,65.38,2,Medium
38.2,6.22,71.62,2,Medium
37.89,6.25,68.26,2,Medium
38.81,8.18,78.45,5,High
36.53,4.88,38.21,0,Low
37.04,4.93,49.79,0,Low
36.89,5.26,55.39,0,Low
38.19,6.72,72.45,2,Medium
38.51,7.82,91.45,5,High
37.49,6.74,69.06,1,Low
37.79,6.67,68.4,2,Medium
38.17,7.71,69.1,3,Medium
36.4,4.64,58.29,0,Low
37.94,6.5,80.26,2,Medium
37.49,5.43,65.59,1,Low
39.04,6.85,62.35,2,Medium
39.23,7.14,94.4,4,High
36.82,4.85,51.78,0,Low
38.43,9.31,87.19,5,High
35.39,5.89,62.63,0,Low
38.18,7.25,63.57,1,Low
37.5,6.31,81.27,1,Low
38.48,7.76,84.84,3,Medium
37.4,7.09,77.47,1,Medium
37.11,4.79,42.43,0,Low
37.11,4.46,49.2,0,Low
37.37,6.31,83.83,1,Low
38.29,8.38,88.83,5,High
36.49,5.2,40.43,0,Low
37.8,8.26,100.0,5,High
37.03,6.48,84.55,1,Low
36.18,4.52,38.28,0,Low
37.27,5.74,50.47,0,Low
37.24,7.23,56.55,0,Low
36.75,4.2,32.71,0,Low
36.85,5.74,52.28,0,Low
37.53,5.94,64.89,1,Low
39.1,6.94,83.71,3,Medium
36.64,4.01,73.27,1,Low
36.79,5.28,40.59,0,Low
37.66,5.7,54.86,1,Low
37.4,7.82,61.57,1,Low
37.92,6.98,92.55,3,Medium
37.71,8.52,100.0,5,High
38.75,8.21,97.1,6,High
38.69,8.22,92.4,6,High
36.53,4.92,61.56,0,Low
36.84,6.2,40.36,0,Low
38.17,9.42,58.08,3,Medium
39.15,8.44,100.0,6,High
39.44,8.9,95.64,6,High
37.3,5.86,52.2,0,High
36.56,5.45,45.37,0,Low
36.04,4.41,32.42,0,Low
36.71,4.98,47.58,0,Low
37.59,7.97,67.32,3,Medium
38.14,5.33,62.09,1,Low
37.03,7.69,85.11,3,Medium
36.75,5.78,39.4,0,Low
38.5,7.91,83.61,3,Medium
38.48,6.65,57.29,1,Low
39.14,9.31,93.15,6,High
39.36,8.06,86.97,6,High
37.3,3.22,54.57,1,Low
36.39,6.18,36.43,0,Low
38.82,8.45,86.47,6,High
37.47,7.83,70.75,2,Medium
36.47,4.54,65.13,1,Low
37.68,7.68,62.78,2,Medium
37.91,6.8,72.6,2,Medium
39.1,6.77,92.61,4,High
36.62,5.17,44.66,0,Low
39.27,7.87,82.42,4,High
38.47,8.26,78.03,4,High
36.13,4.69,57.54,0,Low
36.88,3.76,67.04,2,Medium
38.66,7.62,75.77,4,High
36.68,4.67,45.35,0,Low
35.58,5.79,44.03,0,Low
37.62,7.09,61.06,1,Low
39.14,8.51,88.4,6,High
38.95,7.32,81.78,3,Medium
37.02,4.75,39.63,0,Low
39.11,8.4,87.04,6,High
35.51,5.68,50.38,0,Low
38.82,8.64,77.56,5,High
38.22,9.26,97.01,5,High
37.99,8.12,86.22,5,High
37.57,5.22,50.7,1,Low
39.33,7.97,87.73,5,High
35.79,6.12,47.19,0,Low
37.36,6.06,58.38,0,Low
37.93,6.43,59.86,1,Low
36.58,4.67,36.77,0,Low
36.56,5.89,38.6,0,Low
38.87,7.18,100.0,4,High
38.27,6.2,68.35,2,Medium
38.52,7.05,73.67,3,Medium
38.48,7.41,55.78,1,Low
37.4,7.38,71.71,1,Low
38.79,7.3,89.57,4,High
36.86,5.26,67.9,1,Low
38.65,8.69,78.82,5,High
39.1,6.91,89.7,4,High
37.95,5.94,74.24,2,Medium
36.6,4.46,42.04,0,Low
36.8,5.41,74.63,1,Low
38.74,7.85,91.7,5,High
38.87,8.85,85.06,6,High
36.87,4.99,41.22,0,Low
36.19,5.21,36.0,0,Low
37.04,4.53,51.15,0,Low
36.34,5.53,49.67,0,Low
38.87,8.46,91.84,6,High
38.52,9.22,81.6,5,High
36.44,6.23,34.16,0,Low
38.32,8.39,79.02,4,High
35.52,5.17,39.0,0,Low
38.44,5.75,77.97,2,Medium
38.7,7.4,59.92,2,Medium
39.26,8.04,88.65,6,High
38.45,8.25,97.64,5,High
36.52,4.8,24.13,0,Low
36.99,4.26,48.82,0,Low
36.64,5.73,30.75,0,Low
36.69,4.51,62.18,0,Low
39.07,9.28,78.01,5,High
39.12,7.65,92.41,5,High
36.95,5.74,48.27,0,Low
38.32,8.54,90.17,5,High
37.75,7.79,71.37,3,Medium
38.4,6.26,63.12,1,Low
38.79,8.1,73.6,5,High
37.0,4.12,52.73,0,Low
39.09,8.06,94.01,6,High
35.06,5.13,52.71,0,Low
36.15,5.31,43.77,0,Low
36.76,5.31,57.53,0,Low
36.15,3.29,39.27,1,Low
36.42,5.56,46.78,0,Low
36.45,5.33,51.07,0,Low
37.88,7.92,96.79,4,High
39.04,8.02,96.06,6,High
36.42,5.23,59.17,0,Low
36.97,5.03,44.35,0,Low
37.84,6.95,59.42,1,Low
38.22,7.94,90.78,4,High
38.65,7.8,85.59,5,High
37.21,7.6,100.0,3,Medium
37.35,6.77,70.67,1,Low
38.82,7.11,64.6,2,Medium
36.25,4.28,23.88,0,Low
38.36,7.49,92.51,3,Medium
37.01,7.57,86.23,3,Medium
37.36,4.57,55.57,0,Low
38.87,7.7,89.53,5,High
36.69,4.83,33.66,0,Low
39.16,7.93,91.16,5,Low
38.94,7.83,82.44,4,High
36.42,5.4,36.66,0,Low
38.34,7.84,77.95,3,Medium
36.21,3.21,39.65,1,Low
37.98,7.02,83.21,2,Medium
39.38,7.64,81.24,4,High
36.65,4.56,37.54,0,Low
37.55,5.77,55.0,1,Low
38.54,8.86,92.34,6,High
36.23,4.92,49.33,0,Low
36.55,5.76,45.1,0,Low
37.66,5.35,72.68,2,Medium
38.19,7.14,66.51,2,Medium
38.18,7.14,64.39,1,Low
36.16,4.59,64.64,0,Low
38.69,8.37,91.24,6,High
37.45,6.76,66.43,1,Low
37.16,4.77,32.31,0,Low
38.7,8.11,87.67,6,High
37.56,7.97,89.97,4,High
38.35,7.45,69.52,2,Medium
36.54,4.93,44.06,0,Low
38.03,7.4,57.7,1,Low
37.03,7.49,72.5,1,Low
35.89,6.25,37.69,0,Low
38.33,6.01,64.54,1,Low
40.61,8.38,100.0,6,High
36.78,4.31,57.72,0,Low
39.86,8.32,68.8,5,High
36.93,4.83,53.58,0,Low
38.12,8.16,90.25,5,High
38.51,6.12,73.13,3,Medium
35.82,4.08,45.14,0,Low
39.25,7.16,65.12,3,Medium
36.55,5.8,34.43,0,Low
38.32,6.44,65.74,2,Medium
36.8,5.38,44.83,0,Low
38.62,7.4,100.0,4,High
38.56,8.16,90.54,6,High
38.89,8.18,91.4,6,High
38.84,6.68,75.81,3,Medium
37.66,6.26,84.7,2,Medium
38.28,6.28,65.47,2,Medium
39.67,7.07,79.47,3,Medium
38.25,7.71,77.08,3,Medium
35.59,4.29,59.41,0,Low
37.99,6.0,54.64,1,Low
36.58,5.61,55.83,0,Medium
36.61,4.78,42.59,0,Low
37.84,8.06,99.69,5,High
36.28,4.63,42.32,0,Low
39.26,8.6,94.07,6,High
37.94,6.08,66.67,2,Medium
36.65,4.17,47.16,0,Low
37.3,5.97,65.56,1,Low
38.19,7.22,59.01,1,Low
39.06,7.82,87.77,5,High
37.73,6.98,85.93,3,Medium
39.61,8.54,78.26,5,High
38.4,7.69,89.28,4,High
39.65,8.38,86.43,6,High
37.94,6.82,71.83,2,Medium
37.22,5.55,33.46,0,Medium
37.85,6.18,75.0,2,Medium
36.06,5.84,46.23,0,Low
37.87,7.02,79.73,2,Medium
39.4,8.31,79.48,5,High
38.46,7.76,73.23,3,Medium
37.13,5.48,34.06,0,Low
38.17,6.49,63.32,1,Low
37.9,8.62,82.37,4,High
38.59,8.04,83.94,5,High
37.54,5.97,49.25,1,Low
38.32,7.7,61.7,2,Medium
36.99,7.7,90.65,3,Medium
35.54,5.43,34.15,0,Low
36.91,5.18,39.14,0,Low
36.66,4.71,31.69,0,Low
39.1,8.09,78.69,5,High
37.26,7.93,85.04,3,Medium
39.24,8.88,84.3,5,High
39.02,7.17,100.0,4,High
39.15,8.43,92.21,6,High
37.01,3.91,44.21,1,Low
38.49,8.46,98.62,5,High
36.99,5.03,34.29,0,Low
37.75,6.24,74.28,2,Medium
37.1,5.48,74.25,1,Low
38.05,7.42,57.29,1,Low
37.44,5.25,39.97,0,Low
36.34,4.17,55.6,0,Low
39.56,7.96,81.65,4,High
35.29,4.92,42.96,0,Low
35.66,5.81,54.85,0,Low
38.87,8.81,78.23,5,High
36.21,3.84,31.51,1,Low
38.41,8.43,75.53,4,High
39.72,8.74,81.61,5,High
38.41,7.14,71.48,2,Medium
36.23,5.02,44.79,0,Low
36.41,5.05,45.41,0,Low
37.0,4.32,42.38,0,Low
38.08,5.1,78.91,2,Medium
37.21,4.67,44.41,0,Low
37.76,7.79,70.39,3,Medium
36.63,5.59,36.77,0,Low
37.58,6.88,67.79,2,Medium
37.25,4.32,36.19,0,Low
40.12,8.38,93.84,6,High
36.6,5.36,41.97,0,Low
37.76,4.34,32.73,1,Low
37.4,5.73,43.37,0,Medium
39.43,7.97,87.92,5,High
36.51,4.84,45.13,0,Low
38.72,7.27,78.03,3,Medium
37.55,7.32,71.71,2,Medium
37.74,6.73,64.9,1,Low
39.19,9.02,92.11,6,High
38.34,8.21,90.1,5,High
37.63,6.54,74.13,2,Medium
38.55,8.48,88.54,6,High
36.36,5.76,24.82,0,Low
39.85,7.74,90.02,5,High
38.71,6.73,70.47,3,Medium
39.3,7.67,84.82,4,High
38.53,6.93,89.57,4,High
39.87,8.31,82.76,5,High
37.77,7.54,98.13,4,High
38.26,6.73,65.68,2,Medium
37.63,4.87,70.39,2,Medium
37.03,6.27,63.31,0,Low
36.57,7.1,32.07,0,Low
39.27,8.2,90.88,6,High
36.65,5.36,48.93,0,Low
37.31,5.66,45.86,0,Low
36.3,4.85,48.03,0,Low
37.43,5.85,53.49,0,Low
37.17,6.0,66.06,1,Low
39.13,8.64,85.6,6,High
38.17,6.23,62.17,1,Low
37.04,5.42,56.11,0,Low
37.28,5.27,57.13,0,Low
36.62,4.81,49.41,0,Low
38.33,5.53,64.58,1,Low
38.52,8.06,82.94,5,High
37.53,6.65,78.49,2,Medium
39.37,8.69,98.44,6,High
38.22,5.74,48.9,1,Low
36.55,6.0,65.51,1,Low
39.37,7.45,93.9,4,High
35.86,5.17,51.28,0,Low
36.85,5.37,33.18,0,Low
37.15,5.2,77.41,1,Low
39.42,8.87,85.05,6,High
38.5,7.09,90.99,4,High
36.38,6.38,26.69,0,Low
38.3,8.74,92.39,5,High
38.33,7.74,97.42,4,High
39.19,7.66,92.71,5,High
38.96,9.08,84.08,5,High
36.8,4.46,35.29,0,Low
39.61,9.11,100.0,6,High
36.44,5.95,53.56,0,Low
38.28,8.5,88.58,5,High
38.44,7.41,83.3,2,Medium
39.05,8.62,77.79,5,High
37.48,6.82,86.28,2,Medium
37.49,7.22,75.59,1,Low
38.1,7.04,86.88,3,Medium
38.26,8.68,97.14,5,High
39.58,8.31,91.6,6,High
35.59,4.94,36.98,0,Low
39.76,8.5,89.76,6,High
38.05,7.59,61.73,2,High
37.03,3.64,44.31,1,Low
37.83,6.4,71.38,2,Medium
38.71,8.38,100.0,6,High
39.99,8.2,100.0,6,High
39.08,8.16,85.01,6,High
38.35,6.79,66.83,2,Medium
39.5,8.94,84.66,5,High
38.09,8.02,81.46,4,High
38.74,7.64,87.86,5,High
37.19,5.5,61.71,0,Low
36.91,5.31,59.11,0,Low
37.19,4.78,53.78,0,Low
36.6,5.17,58.87,0,Low
36.62,4.24,51.07,0,Low
38.54,6.37,79.27,3,Medium
37.08,7.29,79.59,1,Low
35.99,5.66,30.61,0,Low
37.88,7.37,63.73,1,Low
37.95,7.61,92.87,4,High
36.76,4.24,57.23,0,Low
37.56,6.33,69.24,2,Medium
38.14,6.8,56.7,1,Low
37.87,7.73,62.92,2,Medium
37.88,7.84,71.61,3,Medium
38.38,9.25,81.76,4,High
36.89,3.7,60.3,1,Low
38.35,7.25,68.39,2,Medium
37.83,6.02,74.86,2,Medium
37.34,5.26,56.09,0,Low
38.61,8.48,86.91,6,High
36.07,4.38,52.62,0,Low
36.11,5.47,38.61,0,Low
39.75,8.68,96.37,6,High
38.48,7.61,84.22,3,Medium
37.49,8.08,85.64,4,High
39.11,7.84,94.72,5,High
38.44,7.9,72.2,3,Medium
37.53,6.86,60.55,1,Low
38.16,8.3,93.41,5,High
36.61,3.92,37.56,1,Low
37.7,6.86,84.26,2,Medium
37.41,7.34,76.4,1,Low
39.41,8.1,78.72,5,High
39.03,8.06,89.7,6,High
38.21,6.77,71.66,2,Medium
37.32,6.08,47.9,0,Low
35.99,5.09,49.45,0,Low
38.18,8.16,100.0,5,High
38.39,7.07,59.95,1,Low
37.82,7.25,63.67,1,Low
39.0,8.35,93.95,6,High
37.23,8.1,94.89,4,High
35.94,4.46,51.11,0,Low
35.99,4.91,47.35,0,Low
36.43,3.91,52.45,1,Low
38.85,8.44,86.2,6,High
37.11,5.27,50.88,0,Low
36.07,4.61,46.9,0,Low
38.29,6.65,60.07,1,Low
39.0,8.76,93.15,6,High
38.06,6.65,62.84,1,Low
38.7,9.21,100.0,6,High
39.13,8.15,79.91,5,High
36.65,5.16,50.63,0,Low
38.48,7.79,100.0,4,High
37.7,6.71,68.97,2,Medium
38.14,8.83,71.9,4,High
35.76,4.66,59.75,0,Low
35.71,7.34,89.18,2,Medium
39.81,6.54,97.5,4,High
36.73,7.16,81.51,1,High
36.39,3.7,53.3,1,Low
38.46,5.21,54.85,1,Low
37.94,8.23,93.15,5,High
39.37,8.56,85.61,6,High
35.63,4.77,45.09,0,Low
39.13,8.35,87.89,6,High
39.5,8.14,92.54,6,High
36.28,5.37,38.34,0,Low
38.92,8.02,87.37,6,High
37.08,7.11,72.32,1,Low
37.63,8.32,66.2,4,High
37.4,5.41,85.33,2,Medium
39.26,7.66,100.0,5,High
38.74,9.06,95.27,6,High
39.05,7.96,85.11,5,High
38.73,8.89,94.79,6,High
38.3,8.34,98.1,5,High
36.68,4.44,55.41,0,Low
36.79,6.8,26.9,0,High
38.9,7.92,98.29,5,High
37.98,7.44,70.17,2,Medium
36.68,5.14,24.47,0,Low
37.17,4.07,19.11,0,Low
38.59,6.83,66.64,3,Medium
38.13,7.33,52.18,1,Low
36.98,5.79,52.0,0,Low
36.86,5.61,23.17,0,Low
36.23,4.91,49.66,0,Low
38.46,7.72,61.28,2,Medium
36.18,4.87,48.86,0,Low
39.11,7.25,64.04,2,Medium
37.73,6.91,65.13,2,Medium
37.85,6.92,82.04,2,Medium
38.87,8.87,100.0,6,High
37.96,6.94,83.1,2,Medium
38.73,7.28,80.53,3,Medium
38.87,9.26,94.29,6,High
38.46,9.02,99.01,5,High
38.63,8.87,82.05,5,High
39.04,6.96,62.24,2,Medium
37.66,5.68,77.01,2,Medium
36.44,4.74,33.46,0,Low
37.62,5.99,88.92,3,Medium
36.89,5.62,54.25,0,Low
39.06,8.04,93.51,6,High
38.67,7.4,91.17,4,High
35.65,5.36,56.58,0,Low
38.67,7.88,81.12,4,High
36.7,4.43,42.9,0,Low
39.46,7.74,89.72,5,High
36.31,4.8,44.86,0,Low
38.62,7.39,79.62,3,Medium
38.18,6.77,80.09,2,Medium
39.29,7.33,83.27,3,Medium
38.29,6.78,81.37,2,Medium
39.62,8.92,81.7,5,High
38.62,8.49,85.14,6,High
36.46,5.93,50.53,0,Low
39.01,9.5,91.42,6,High
38.13,8.87,85.98,5,High
38.54,7.73,81.32,4,High
38.87,8.16,96.26,6,High
39.12,9.38,97.18,6,High
39.4,9.22,100.0,6,High
38.92,8.07,94.61,6,High
38.12,7.16,70.51,2,Medium
36.52,5.09,65.62,1,Low
38.93,7.68,95.73,5,High
38.71,6.96,75.74,3,Medium
38.16,7.05,70.58,2,Medium
36.83,4.79,42.09,0,Low
37.96,4.16,29.89,1,Low
36.55,5.63,52.1,0,Low
38.48,8.05,89.84,5,High
36.02,4.21,54.17,0,Low
36.91,3.71,27.2,1,Low
37.23,8.93,75.41,3,Medium
37.46,7.64,100.0,3,Medium
38.25,5.35,74.27,2,Medium
38.98,7.65,96.24,5,High
38.52,6.47,55.97,2,Medium
36.57,6.34,59.66,0,Low
38.85,8.27,100.0,6,High
36.69,4.86,44.39,0,Low
37.9,6.48,64.35,1,Low
38.06,7.75,100.0,4,High
38.85,8.62,70.17,5,High
37.82,6.41,71.81,2,Medium
37.63,8.75,91.94,5,High
37.42,5.62,72.24,1,Low
38.0,5.69,72.25,2,Medium
37.03,5.42,9.17,0,Low
37.4,5.66,68.12,1,Low
37.08,7.36,77.63,1,Low
38.31,8.82,77.91,4,High
36.52,4.93,24.5,0,Low
38.12,8.57,79.31,4,High
38.95,7.81,96.84,5,High
39.11,9.17,100.0,6,High
37.75,6.29,66.97,2,Medium
36.2,5.53,70.6,1,Low
35.93,4.06,54.32,0,Low
39.43,7.88,96.64,5,High
38.46,7.96,80.42,3,Medium
37.85,7.32,64.63,1,Low
36.48,5.77,38.75,0,Low
36.68,5.35,64.71,0,Low
38.22,7.38,58.47,1,Low
37.36,5.73,77.95,1,Low
36.64,3.19,69.67,2,Medium
40.13,7.33,83.5,3,Medium
38.08,5.92,59.27,1,Low
36.99,5.5,66.74,1,Low
36.71,4.1,40.98,0,Low
38.13,7.61,79.91,3,Medium
39.5,8.17,87.4,6,High
38.56,9.25,92.46,6,High
37.77,8.76,83.05,4,High
36.46,4.85,46.75,0,Low
39.16,9.07,79.49,5,High
37.66,6.45,89.98,3,Medium
37.07,4.81,41.56,0,Low
38.29,7.19,82.86,2,Medium
36.53,5.12,55.7,0,Low
36.97,4.99,32.3,0,Low
37.83,7.96,86.75,4,High
40.08,8.17,97.63,6,High
38.59,7.79,73.52,4,High
38.52,7.72,80.56,4,High
38.78,8.48,53.39,4,High
36.08,5.69,48.44,0,Low
37.94,6.42,86.14,3,Medium
39.3,6.6,89.47,4,High
37.26,3.71,41.24,1,Low
39.93,8.35,83.86,5,High
37.34,7.55,90.29,3,Medium
35.63,4.73,57.12,0,Low
39.04,8.24,100.0,6,High
38.8,8.71,79.39,5,High
36.87,4.85,39.53,0,Low
37.02,5.39,36.02,0,Low
38.65,6.13,71.45,3,Medium
38.86,7.22,100.0,4,High
37.11,4.57,37.49,0,Low
38.4,6.97,77.61,2,Medium
36.6,4.54,55.85,0,Low
38.64,6.55,70.21,3,Medium
37.91,6.56,69.7,2,Medium
36.27,4.91,45.12,0,Low
